 21 6883.183410 7.410E-28 2.785e-02.06870.086 2568.57250.76-.008588       1 1 1 31       1 1 1 01                    R 35e     3377642030 5 4 5 7    73.0   71.0
 21 6883.205306 1.498E-28 2.799e-02.06770.076 2956.98070.74-.008801       1 1 1 31       1 1 1 01                    R 47e     3377642030 5 4 5 7    97.0   95.0
 21 6883.213898 2.361E-28 2.812e-02.06800.078 2851.22270.75-.008729       1 1 1 31       1 1 1 01                    R 44f     4377642030 5 4 5 7    91.0   89.0
 21 6883.271343 5.261E-28 2.802e-02.06840.083 2656.54690.76-.008635       1 1 1 31       1 1 1 01                    R 38f     4377642030 5 4 5 7    79.0   77.0
 21 6883.307717 3.138E-28 2.809e-02.06820.079 2783.21020.76-.008693       1 1 1 31       1 1 1 01                    R 42f     4377642030 5 4 5 7    87.0   85.0
 21 6883.326865 4.099E-28 2.806e-02.06830.081 2718.31810.76-.008661       1 1 1 31       1 1 1 01                    R 40f     4377642030 5 4 5 7    83.0   81.0
 21 6883.370367 5.932E-28 2.788e-02.06850.084 2625.52320.76-.008617       1 1 1 31       1 1 1 01                    R 37e     3377642030 5 4 5 7    77.0   75.0
 21 6883.374946 2.424E-25 3.193e-02.06810.078 1441.53060.75-.008713       0 1 1 31       0 1 1 01                    P 44f     4677642030 5 4 5 7    87.0   89.0
 21 6883.384917 2.042E-28 2.797e-02.06790.077 2884.46530.75-.008744       1 1 1 31       1 1 1 01                    R 45e     3377642030 5 4 5 7    93.0   91.0
 21 6883.480432 3.790E-27 2.523e-02.07200.098 2112.96240.72-.008083       1 1 1 32       1 1 1 02                    R 21e     4677642029 5 4 5 7    45.0   43.0
 21 6883.483049 7.008E-26 2.498e-02.07110.097 1519.64110.73-.008233       1 0 0 32       1 0 0 02                    P 24e     4677642029 5 4 5 7    47.0   49.0
 21 6883.483984 4.664E-28 2.790e-02.06840.082 2685.58910.76-.008648       1 1 1 31       1 1 1 01                    R 39e     3377642030 5 4 5 7    81.0   79.0
 21 6883.491245 2.736E-28 2.795e-02.06810.079 2815.06100.75-.008704       1 1 1 31       1 1 1 01                    R 43e     3377642030 5 4 5 7    89.0   87.0
 21 6883.524273 3.603E-28 2.792e-02.06820.080 2748.76860.76-.008673       1 1 1 31       1 1 1 01                    R 41e     3377642030 5 4 5 7    85.0   83.0
 21 6883.585930 1.020E-28 1.716e-04.06840.082 1945.79590.76-.008639       0 2 2 31       0 2 2 01                    Q 39f     4377642030 5 4 5 7    79.0   79.0
 21 6883.698022 1.282E-29 2.592e-02.06550.069 3505.53100.70-.009430       1 1 1 32       1 1 1 02                    R 63e     4677642029 5 4 5 7   129.0  127.0
 21 6883.865726 3.642E-27 2.530e-02.07150.097 2130.62550.72-.008141       1 1 1 32       1 1 1 02                    R 22f     3677642029 5 4 5 7    47.0   45.0
 21 6883.932296 1.580E-29 2.601e-02.06570.069 3460.03370.70-.009373       1 1 1 32       1 1 1 02                    R 62f     3677642029 5 4 5 7   127.0  125.0
 21 6884.096120 8.958E-26 3.333e-02.07720.104 1429.12370.69-.007403       0 2 2 31       0 2 2 01                    P 15f     4677642030 5 4 5 7    29.0   31.0
 21 6884.206117 3.488E-27 2.531e-02.07110.097 2148.11600.73-.008206       1 1 1 32       1 1 1 02                    R 23e     4677642029 5 4 5 7    49.0   47.0
 21 6884.242631 2.208E-27 1.130e-01.07720.104 2442.04910.69-.007403       0 0 0 41       0 0 0 11                    P 15e     3677642029 5 4 5 7    29.0   31.0
 21 6884.269307 5.051E-26 2.712e-02.07200.098 1585.59050.72-.008101       1 0 0 31       1 0 0 01                    P 22e     3677642030 5 4 5 7    43.0   45.0
 21 6884.288506 1.213E-28 1.806e-04.06850.083 1915.27870.76-.008621       0 2 2 31       0 2 2 01                    Q 38e     4377642030 5 4 5 7    77.0   77.0
 21 6884.403669 1.992E-29 2.589e-02.06580.069 3408.13550.70-.009322       1 1 1 32       1 1 1 02                    R 61e     4677742029 5 4 5 7   125.0  123.0
 21 6884.554048 3.313E-27 2.537e-02.07070.096 2167.42800.73-.008267       1 1 1 32       1 1 1 02                    R 24f     3677642029 5 4 5 7    51.0   49.0
 21 6884.615798 2.438E-29 2.598e-02.06600.070 3363.96780.70-.009277       1 1 1 32       1 1 1 02                    R 60f     3677642029 5 4 5 7   123.0  121.0
 21 6884.860384 3.139E-27 2.536e-02.07030.095 2186.39140.74-.008325       1 1 1 32       1 1 1 02                    R 25e     4677642029 5 4 5 7    53.0   51.0
 21 6884.983683 1.438E-28 1.903e-04.06860.084 1885.54220.76-.008609       0 2 2 31       0 2 2 01                    Q 37f     4377642030 5 4 5 7    75.0   75.0
 21 6885.037715 3.048E-29 2.588e-02.06610.070 3313.83910.71-.009239       1 1 1 32       1 1 1 02                    R 59e     4677742029 5 4 5 7   121.0  119.0
 21 6885.089599 2.819E-25 3.199e-02.06820.079 1405.98470.75-.008685       0 1 1 31       0 1 1 01                    P 43e     4677642030 5 4 5 7    85.0   87.0
 21 6885.133602 8.829E-26 3.334e-02.07820.105 1417.37550.69-.007225       0 2 2 31       0 2 2 01                    P 14e     4677742030 5 4 5 7    27.0   29.0
 21 6885.170455 2.949E-27 2.543e-02.07000.094 2207.35990.74-.008373       1 1 1 32       1 1 1 02                    R 26f     3677642029 5 4 5 7    55.0   53.0
 21 6885.226806 3.703E-29 2.596e-02.06630.070 3271.00810.71-.009197       1 1 1 32       1 1 1 02                    R 58f     3677742029 5 4 5 7   119.0  117.0
 21 6885.443209 2.766E-27 2.542e-02.06980.093 2227.78810.74-.008420       1 1 1 32       1 1 1 02                    R 27e     4677642029 5 4 5 7    57.0   55.0
 21 6885.587519 1.420E-25 3.067e-02.06540.069 1621.00350.69-.009399       0 0 0 31       0 0 0 01                    P 64e     4677742030 5 4 5 7   127.0  129.0
 21 6885.600144 4.588E-29 2.587e-02.06650.071 3222.64330.71-.009153       1 1 1 32       1 1 1 02                    R 57e     4677642029 5 4 5 7   117.0  115.0
 21 6885.650855 1.698E-28 2.005e-04.06870.085 1856.58700.76-.008602       0 2 2 31       0 2 2 01                    Q 36e     4377642030 5 4 5 7    73.0   73.0
 21 6885.714918 2.571E-27 2.548e-02.06950.092 2250.41970.75-.008455       1 1 1 32       1 1 1 02                    R 28f     3677642029 5 4 5 7    59.0   57.0
 21 6885.765355 5.532E-29 2.594e-02.06660.071 3181.15620.72-.009107       1 1 1 32       1 1 1 02                    R 56f     3677742029 5 4 5 7   115.0  113.0
 21 6885.846021 7.681E-26 2.505e-02.07200.098 1482.95200.72-.008101       1 0 0 32       1 0 0 02                    P 22e     4677642029 5 4 5 7    43.0   45.0
 21 6885.954570 2.389E-27 2.547e-02.06940.091 2272.30520.75-.008479       1 1 1 32       1 1 1 02                    R 29e     4677642029 5 4 5 7    61.0   59.0
 21 6886.090944 6.793E-29 2.585e-02.06680.071 3134.54980.72-.009067       1 1 1 32       1 1 1 02                    R 55e     4677742029 5 4 5 7   113.0  111.0
 21 6886.152817 8.619E-26 3.333e-02.07920.106 1406.41030.69-.007036       0 2 2 31       0 2 2 01                    P 13f     4677742030 5 4 5 7    25.0   27.0
 21 6886.187404 2.197E-27 2.553e-02.06930.090 2296.60690.75-.008508       1 1 1 32       1 1 1 02                    R 30f     3677642029 5 4 5 7    63.0   61.0
 21 6886.231476 8.133E-29 2.592e-02.06690.072 3094.41430.72-.009022       1 1 1 32       1 1 1 02                    R 54f     3677742029 5 4 5 7   111.0  109.0
 21 6886.288322 2.134E-27 1.136e-01.07920.106 2419.59810.69-.007036       0 0 0 41       0 0 0 11                    P 13e     3677742029 5 4 5 7    25.0   27.0
 21 6886.308957 2.001E-28 2.119e-04.06880.086 1828.41260.76-.008587       0 2 2 31       0 2 2 01                    Q 35f     4377642030 5 4 5 7    71.0   71.0
 21 6886.394447 2.022E-27 2.551e-02.06910.089 2319.94210.76-.008525       1 1 1 32       1 1 1 02                    R 31e     4677642029 5 4 5 7    65.0   63.0
 21 6886.494821 3.221E-25 3.198e-02.06820.080 1373.54210.76-.008658       0 1 1 31       0 1 1 01                    P 42f     4677642030 5 4 5 7    83.0   85.0
 21 6886.510110 9.896E-29 2.583e-02.06710.072 3049.56030.73-.008987       1 1 1 32       1 1 1 02                    R 53e     4677742029 5 4 5 7   109.0  107.0
 21 6886.587883 1.842E-27 2.558e-02.06900.088 2345.92090.76-.008541       1 1 1 32       1 1 1 02                    R 32f     3677642029 5 4 5 7    67.0   65.0
 21 6886.598120 5.404E-26 2.719e-02.07310.100 1552.04330.71-.007977       1 0 0 31       1 0 0 01                    P 20e     3677642030 5 4 5 7    39.0   41.0
 21 6886.625201 1.176E-28 2.590e-02.06720.073 3010.78340.73-.008948       1 1 1 32       1 1 1 02                    R 52f     3677742029 5 4 5 7   107.0  105.0
 21 6886.762818 1.680E-27 2.556e-02.06890.087 2370.69800.76-.008555       1 1 1 32       1 1 1 02                    R 33e     4677642029 5 4 5 7    69.0   67.0
 21 6886.857640 1.418E-28 2.581e-02.06730.073 2967.67650.73-.008913       1 1 1 32       1 1 1 02                    R 51e     4677742029 5 4 5 7   105.0  103.0
 21 6886.916322 1.515E-27 2.562e-02.06880.087 2398.36040.76-.008570       1 1 1 32       1 1 1 02                    R 34f     3677642029 5 4 5 7    71.0   69.0
 21 6886.940649 2.350E-28 2.242e-04.06890.087 1801.01980.76-.008567       0 2 2 31       0 2 2 01                    Q 34e     4377642030 5 4 5 7    69.0   69.0
